Data set,Method,Fingerprint,Confidence level (%),Recovery Rate,Area Under ROC Curve
BRD2,SB-DFP,MACCS,99.9999,0.00446428571429,0.588731944196429
BRD2,SB-DFP,MACCS,99.9999,0,0.704142015625
BRD2,SB-DFP,MACCS,99.9999,0,0.600954727678572
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.596551147321429
BRD2,SB-DFP,MACCS,99.9999,0,0.70227909375
BRD2,SB-DFP,MACCS,99.9999,0,0.694183125
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.76377628125
BRD2,SB-DFP,MACCS,99.9999,0,0.704547459821429
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.700062466517857
BRD2,SB-DFP,MACCS,99.9999,0.00446428571429,0.561750555803571
BRD2,SB-DFP,MACCS,99.9999,0,0.70448528125
BRD2,SB-DFP,MACCS,99.9999,0,0.704265491071428
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.598887696428571
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.704279330357143
BRD2,SB-DFP,MACCS,99.9999,0,0.705869285714286
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.524472522321428
BRD2,SB-DFP,MACCS,99.9999,0,0.70464665625
BRD2,SB-DFP,MACCS,99.9999,0.00892857142857,0.601225366071429
BRD2,SB-DFP,MACCS,99.9999,0,0.753559037946429
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD2,SB-DFP,MACCS,99.9999,0,0.702009758928571
BRD2,SB-DFP,MACCS,99.9999,0,0.5
BRD3,SB-DFP,ECFP4,99.9999,0.682203389831,0.938226048728813
BRD3,SB-DFP,ECFP4,99.9999,0.885593220339,0.993019663135593
BRD3,SB-DFP,ECFP4,99.9999,0.627118644068,0.943119188559322
BRD3,SB-DFP,ECFP4,99.9999,0.779661016949,0.996702063559322
BRD3,SB-DFP,ECFP4,99.9999,0.741525423729,0.992975711864407
BRD3,SB-DFP,ECFP4,99.9999,0.652542372881,0.990518949152542
BRD3,SB-DFP,ECFP4,99.9999,0.673728813559,0.906002627118644
BRD3,SB-DFP,ECFP4,99.9999,0.677966101695,0.966732161016949
BRD3,SB-DFP,ECFP4,99.9999,0.563559322034,0.920677254237288
BRD3,SB-DFP,ECFP4,99.9999,0.576271186441,0.939479972457627
BRD3,SB-DFP,ECFP4,99.9999,0.677966101695,0.956946
BRD3,SB-DFP,ECFP4,99.9999,0.584745762712,0.891071483050848
BRD3,SB-DFP,ECFP4,99.9999,0.588983050847,0.862357561440678
BRD3,SB-DFP,ECFP4,99.9999,0.542372881356,0.991240822033898
BRD3,SB-DFP,ECFP4,99.9999,0.622881355932,0.910794112288136
BRD3,SB-DFP,ECFP4,99.9999,0.563559322034,0.901063381355932
BRD3,SB-DFP,ECFP4,99.9999,0.758474576271,0.992622366525424
BRD3,SB-DFP,ECFP4,99.9999,0.631355932203,0.932063355932203
BRD3,SB-DFP,ECFP4,99.9999,0.572033898305,0.912103552966102
BRD3,SB-DFP,ECFP4,99.9999,0.673728813559,0.938191375
BRD3,SB-DFP,ECFP4,99.9999,0.555084745763,0.774959190677966
BRD3,SB-DFP,ECFP4,99.9999,0.588983050847,0.859205133474576
BRD3,SB-DFP,ECFP4,99.9999,0.64406779661,0.98276038559322
BRD3,SB-DFP,ECFP4,99.9999,0.572033898305,0.904353849576271
BRD3,SB-DFP,ECFP4,99.9999,0.563559322034,0.863034052966102
BRD3,SB-DFP,ECFP4,99.9999,0.572033898305,0.979323697033898
BRD3,SB-DFP,ECFP4,99.9999,0.64406779661,0.846684620762712
BRD3,SB-DFP,ECFP4,99.9999,0.567796610169,0.912474281779661
BRD3,SB-DFP,ECFP4,99.9999,0.665254237288,0.792973375
BRD3,SB-DFP,ECFP4,99.9999,0.572033898305,0.960896398305085
BRD3,SB-DFP,ECFP4,99.9999,0.576271186441,0.984978576271186
BRD3,SB-DFP,ECFP4,99.9999,0.669491525424,0.888026105932203
BRD3,SB-DFP,ECFP4,99.9999,0.673728813559,0.957355016949153
BRD3,SB-DFP,ECFP4,99.9999,0.64406779661,0.970813023305085
BRD3,SB-DFP,ECFP4,99.9999,0.563559322034,0.835939025423729
BRD3,SB-DFP,ECFP4,99.9999,0.546610169492,0.872376521186441
BRD3,SB-DFP,ECFP4,99.9999,0.368644067797,0.990962184322034
BRD3,SB-DFP,ECFP4,99.9999,0.703389830508,0.932087199152542
BRD3,SB-DFP,ECFP4,99.9999,0.677966101695,0.95542145338983
BRD3,SB-DFP,ECFP4,99.9999,0.567796610169,0.899123911016949
BRD3,SB-DFP,ECFP4,99.9999,0.758474576271,0.990783705508475
BRD3,SB-DFP,ECFP4,99.9999,0.652542372881,0.918895849576271
BRD3,SB-DFP,ECFP4,99.9999,0.563559322034,0.898402036016949
BRD3,SB-DFP,ECFP4,99.9999,0.754237288136,0.864092779661017
BRD3,SB-DFP,ECFP4,99.9999,0.783898305085,0.955427616525424
BRD3,SB-DFP,ECFP4,99.9999,0.580508474576,0.937066220338983
BRD3,SB-DFP,ECFP4,99.9999,0.588983050847,0.985820872881356
BRD3,SB-DFP,ECFP4,99.9999,0.567796610169,0.969217855932203
BRD3,SB-DFP,ECFP4,99.9999,0.694915254237,0.884092224576271
BRD3,SB-DFP,ECFP4,99.9999,0.635593220339,0.923666101694915
BRD3,SB-DFP,ECFP4,99.9999,0.576271186441,0.908782955508474
BRD3,SB-DFP,ECFP4,99.9999,0.627118644068,0.899897213983051
BRD3,SB-DFP,ECFP4,99.9999,0.597457627119,0.979725525423729
BRD3,SB-DFP,ECFP4,99.9999,0.572033898305,0.959432161016949
BRD3,SB-DFP,ECFP4,99.9999,0.580508474576,0.860491766949153
BRD3,SB-DFP,ECFP4,99.9999,0.593220338983,0.912864080508474
BRD3,SB-DFP,ECFP4,99.9999,0.733050847458,0.998206404661017
BRD3,SB-DFP,ECFP4,99.9999,0.572033898305,0.922033972457627
BRD3,SB-DFP,ECFP4,99.9999,0.635593220339,0.994313966101695
BRD3,SB-DFP,ECFP4,99.9999,0.588983050847,0.923094724576271
BRD3,SB-DFP,ECFP4,99.9999,0.580508474576,0.965204769067797
BRD3,SB-DFP,ECFP4,99.9999,0.563559322034,0.906419875
BRD3,SB-DFP,ECFP4,99.9999,0.593220338983,0.979398612288136
BRD3,SB-DFP,ECFP4,99.9999,0.563559322034,0.84344293220339
BRD3,SB-DFP,ECFP4,99.9999,0.682203389831,0.98691598940678
BRD3,SB-DFP,ECFP4,99.9999,0.597457627119,0.959629868644068
BRD3,SB-DFP,ECFP4,99.9999,0.716101694915,0.912845324152542
BRD3,SB-DFP,ECFP4,99.9999,0.567796610169,0.894408927966101
BRD3,SB-DFP,ECFP4,99.9999,0.601694915254,0.980121362288136
BRD3,SB-DFP,ECFP4,99.9999,0.563559322034,0.846258205508474
BRD3,SB-DFP,ECFP4,99.9999,0.60593220339,0.990326550847458
BRD3,SB-DFP,ECFP4,99.9999,0.576271186441,0.931775775423729
BRD3,SB-DFP,ECFP4,99.9999,0.572033898305,0.957103845338983
BRD3,SB-DFP,ECFP4,99.9999,0.563559322034,0.838199900423729
BRD3,SB-DFP,ECFP4,99.9999,0.618644067797,0.923728449152542
BRD3,SB-DFP,ECFP4,99.9999,0.555084745763,0.811684805084746
BRD3,SB-DFP,ECFP4,99.9999,0.567796610169,0.946080841101695
BRD3,SB-DFP,ECFP4,99.9999,0.567796610169,0.88742205720339
BRD3,SB-DFP,ECFP4,99.9999,0.360169491525,0.991805455508474
BRD3,SB-DFP,ECFP4,99.9999,0.669491525424,0.864309949152542
